small_area,precinct,weight
2730137,STUTTERHEIM,1.0
2730206,STUTTERHEIM,1.0
2730296,STUTTERHEIM,1.0
2730088,STUTTERHEIM,0.533871244382
2730005,STUTTERHEIM,0.998185996946
2730093,STUTTERHEIM,0.999209096341
2730150,STUTTERHEIM,0.00874997110772
2730280,STUTTERHEIM,1.0
2730235,STUTTERHEIM,1.0
2730282,STUTTERHEIM,1.0
2730268,STUTTERHEIM,1.0
2730269,STUTTERHEIM,1.0
2730228,STUTTERHEIM,1.0
2730207,STUTTERHEIM,1.0
2730199,STUTTERHEIM,1.0
2730222,STUTTERHEIM,1.0
2730285,STUTTERHEIM,1.0
2730122,STUTTERHEIM,1.0
2730161,STUTTERHEIM,1.0
2730113,STUTTERHEIM,1.0
2730310,STUTTERHEIM,1.0
2730136,STUTTERHEIM,1.0
2730238,STUTTERHEIM,1.0
2730119,STUTTERHEIM,1.0
2730179,STUTTERHEIM,1.0
2730142,STUTTERHEIM,1.0
2730103,STUTTERHEIM,1.0
2730245,STUTTERHEIM,1.0
2730107,STUTTERHEIM,1.0
2730227,STUTTERHEIM,1.0
2730294,STUTTERHEIM,1.0
2730232,STUTTERHEIM,1.0
2730303,STUTTERHEIM,1.0
2730298,STUTTERHEIM,1.0
2730233,STUTTERHEIM,1.0
2730274,STUTTERHEIM,1.0
2730295,STUTTERHEIM,1.0
2730243,STUTTERHEIM,1.0
2730284,STUTTERHEIM,1.0
2730259,STUTTERHEIM,1.0
2730300,STUTTERHEIM,1.0
2730213,STUTTERHEIM,1.0
2730230,STUTTERHEIM,1.0
2730293,STUTTERHEIM,1.0
2730292,STUTTERHEIM,1.0
2730223,STUTTERHEIM,1.0
2730297,STUTTERHEIM,1.0
2730063,STUTTERHEIM,1.0
2730026,STUTTERHEIM,1.0
2730186,STUTTERHEIM,1.0
2730154,STUTTERHEIM,1.0
2730217,STUTTERHEIM,1.0
2730271,STUTTERHEIM,1.0
2730275,STUTTERHEIM,1.0
2730091,STUTTERHEIM,0.0316978056115
2730096,STUTTERHEIM,0.000245580328797
2730130,STUTTERHEIM,0.00784163264703
2730060,STUTTERHEIM,1.0176415266e-07
2730078,STUTTERHEIM,1.0
2730313,STUTTERHEIM,1.0
2730125,STUTTERHEIM,1.0
2730156,STUTTERHEIM,1.0
2730037,STUTTERHEIM,0.000266259730405
2600024,STUTTERHEIM,0.000300948273059
2730218,STUTTERHEIM,0.996066904781
2730241,STUTTERHEIM,0.142387702283
2730003,STUTTERHEIM,0.000274407998156
2730014,STUTTERHEIM,0.997407377835
2730086,STUTTERHEIM,0.999864152889
2991806,MOTHERWELL,0.13744723903
2990045,MOTHERWELL,1.22067767509e-06
2990538,MOTHERWELL,1.0
2990976,MOTHERWELL,1.0
2990952,MOTHERWELL,1.0
2990367,MOTHERWELL,1.0
2991171,MOTHERWELL,1.0
2991040,MOTHERWELL,1.0
2990954,MOTHERWELL,1.0
2990725,MOTHERWELL,1.0
2991432,MOTHERWELL,1.0
2991267,MOTHERWELL,0.0226486600616
2991352,MOTHERWELL,1.0
2990828,MOTHERWELL,1.0
2991181,MOTHERWELL,1.0
2990679,MOTHERWELL,1.0
2991335,MOTHERWELL,1.0
2991492,MOTHERWELL,0.442469809436
2990648,MOTHERWELL,1.0
2991635,MOTHERWELL,0.00131076835241
2991497,MOTHERWELL,0.999999822459
2991341,MOTHERWELL,1.0
2991002,MOTHERWELL,0.999753063598
2990776,MOTHERWELL,1.0
2991143,MOTHERWELL,1.0
2990569,MOTHERWELL,1.0
2991220,MOTHERWELL,0.00114717383272
2991001,MOTHERWELL,0.99773293213
2991383,MOTHERWELL,1.0
2991047,MOTHERWELL,1.0
2991415,MOTHERWELL,0.998857775893
2991506,MOTHERWELL,0.000144354244461
2991080,MOTHERWELL,1.0
2990866,MOTHERWELL,1.0
2990641,MOTHERWELL,1.0
2990507,MOTHERWELL,1.0
2990488,MOTHERWELL,1.0
2990786,MOTHERWELL,1.0
2991006,MOTHERWELL,1.0
2991748,MOTHERWELL,1.0
2991477,MOTHERWELL,1.0
2991275,MOTHERWELL,1.0
2991366,MOTHERWELL,1.0
2991646,MOTHERWELL,1.0
2991794,MOTHERWELL,1.0
2991730,MOTHERWELL,1.0
2991607,MOTHERWELL,1.0
2991454,MOTHERWELL,1.0
2991776,MOTHERWELL,1.0
2991597,MOTHERWELL,1.0
2991792,MOTHERWELL,1.0
2991719,MOTHERWELL,1.0
2990723,MOTHERWELL,0.991264980785
2991055,MOTHERWELL,0.994802441008
2990762,MOTHERWELL,1.0
2990426,MOTHERWELL,1.0
2990162,MOTHERWELL,1.0
2990477,MOTHERWELL,0.96662959279
2990589,MOTHERWELL,0.0321983292385
2991037,MOTHERWELL,1.0
2990565,MOTHERWELL,0.999949935989
2990915,MOTHERWELL,1.0
2990810,MOTHERWELL,1.0
2990344,MOTHERWELL,1.0
2990442,MOTHERWELL,1.0
2990481,MOTHERWELL,1.0
2990666,MOTHERWELL,1.0
2990668,MOTHERWELL,1.0
2990731,MOTHERWELL,1.0
2990744,MOTHERWELL,0.99999731469
2990751,MOTHERWELL,1.0
2990835,MOTHERWELL,1.0
2990897,MOTHERWELL,1.0
2990929,MOTHERWELL,1.0
2990930,MOTHERWELL,1.0
2990986,MOTHERWELL,1.0
2991104,MOTHERWELL,1.0
2991125,MOTHERWELL,1.0
2991752,MOTHERWELL,1.0
2990752,MOTHERWELL,0.998360954637
2991103,MOTHERWELL,0.998831224973
2991129,MOTHERWELL,1.0
2991347,MOTHERWELL,1.0
2991771,MOTHERWELL,1.0
2990003,MOTHERWELL,0.000903215632904
2991283,MOTHERWELL,1.0
2990865,MOTHERWELL,1.0
2991032,MOTHERWELL,1.0
2991329,MOTHERWELL,1.0
2990946,MOTHERWELL,1.0
2991155,MOTHERWELL,1.0
2990843,MOTHERWELL,1.0
2991146,MOTHERWELL,1.0
2991233,MOTHERWELL,0.997551420288
2990427,MOTHERWELL,1.0
2990687,MOTHERWELL,1.0
2991016,MOTHERWELL,1.0
2991801,MOTHERWELL,1.0
2990461,MOTHERWELL,1.0
2990632,MOTHERWELL,1.0
2990452,MOTHERWELL,1.0
2991018,MOTHERWELL,1.0
2990949,MOTHERWELL,1.0
2991234,MOTHERWELL,1.0
2990919,MOTHERWELL,1.0
2990983,MOTHERWELL,0.998779968459
2990808,MOTHERWELL,1.0
2990981,MOTHERWELL,1.0
2990823,MOTHERWELL,1.0
2990932,MOTHERWELL,1.0
2990782,MOTHERWELL,1.0
2990365,MOTHERWELL,1.0
2990563,MOTHERWELL,1.0
2990612,MOTHERWELL,1.0
2990014,MOTHERWELL,0.00749962793781
2991021,MOTHERWELL,1.0
2990697,MOTHERWELL,1.0
2990714,MOTHERWELL,1.0
2991145,MOTHERWELL,0.999487309517
2990883,MOTHERWELL,1.0
2990472,MOTHERWELL,0.999964218141
2990011,MOTHERWELL,0.00249808912042
2991356,MOTHERWELL,1.0
2990591,MOTHERWELL,1.0
2990561,MOTHERWELL,0.949946513267
2991056,MOTHERWELL,1.0
2990728,MOTHERWELL,1.0
2991593,MOTHERWELL,1.0
2990182,MOTHERWELL,1.0
2990761,MOTHERWELL,1.0
2990661,MOTHERWELL,1.0
2991164,MOTHERWELL,1.0
2990699,MOTHERWELL,1.0
2990673,MOTHERWELL,1.0
2991328,MOTHERWELL,1.0
2990557,MOTHERWELL,0.000411561150845
2991240,MOTHERWELL,0.929873658743
2991302,MOTHERWELL,1.0
2990478,MOTHERWELL,1.0
2990717,MOTHERWELL,0.000425534760823
2990794,MOTHERWELL,1.0
2990795,MOTHERWELL,1.0
2990875,MOTHERWELL,1.0
2991017,MOTHERWELL,1.0
2991038,MOTHERWELL,1.0
2991044,MOTHERWELL,1.0
2991091,MOTHERWELL,1.0
2991351,MOTHERWELL,1.0
2991587,MOTHERWELL,1.0
2990352,MOTHERWELL,1.0
2990374,MOTHERWELL,1.0
2990464,MOTHERWELL,1.0
2990767,MOTHERWELL,1.0
2990974,MOTHERWELL,1.0
2991089,MOTHERWELL,1.0
2991095,MOTHERWELL,1.0
2991106,MOTHERWELL,1.0
2991148,MOTHERWELL,1.0
2991340,MOTHERWELL,0.993548014918
2990184,KWADWESI,0.994098134733
2990816,KWADWESI,1.0
2991806,KWADWESI,0.0042654750572
2990268,KWADWESI,1.0
2990509,KWADWESI,1.0
2990379,KWADWESI,1.0
2990010,KWADWESI,1.44000604563e-05
2990002,KWADWESI,0.000304819598793
2991077,KWADWESI,0.0500792153472
2991509,KWADWESI,0.991613301051
2991502,KWADWESI,1.0
2991513,KWADWESI,1.0
2991211,KWADWESI,1.0
2990155,KWADWESI,0.0973629019405
2991203,KWADWESI,1.0
2990433,KWADWESI,0.078112972937
2990862,KWADWESI,0.0201725764581
2991182,KWADWESI,0.350317152867
2990772,KWADWESI,1.0
2991394,KWADWESI,1.0
2991196,KWADWESI,1.0
2991430,KWADWESI,1.0
2990172,KWADWESI,0.998153269836
2990147,KWADWESI,0.999607399546
2991271,KWADWESI,1.0
2990964,KWADWESI,1.0
2990401,KWADWESI,1.0
2990312,KWADWESI,1.0
2991113,KWADWESI,1.0
2990489,KWADWESI,1.0
2990638,KWADWESI,1.0
2990847,KWADWESI,1.0
2990377,KWADWESI,1.0
2990318,KWADWESI,1.0
2990395,KWADWESI,1.0
2990483,KWADWESI,1.0
2990179,KWADWESI,1.0
2990063,KWADWESI,1.0
2990540,KWADWESI,1.0
2990439,KWADWESI,1.0
2990609,KWADWESI,0.0167190589807
2990198,KWADWESI,1.0
2990301,KWADWESI,1.0
2990793,KWADWESI,1.0
2990527,KWADWESI,1.0
2990600,KWADWESI,1.0
2990498,KWADWESI,1.0
2990232,KWADWESI,1.0
2990061,KWADWESI,1.0
2991248,KWADWESI,1.0
2990217,KWADWESI,1.0
2990833,KWADWESI,1.0
2990928,KWADWESI,0.996221438077
2990879,KWADWESI,0.117747482673
2991127,KWADWESI,1.0
2990042,KWADWESI,0.100691951749
2990608,KWADWESI,0.978044535128
2990681,KWADWESI,0.640617120098
2990624,KWADWESI,1.0
2990712,KWADWESI,2.06893697447e-05
2991481,KWADWESI,0.784263968719
2991195,KWADWESI,1.0
2990855,KWADWESI,1.0
2990350,KWADWESI,1.0
2990437,KWADWESI,0.157866906432
2991418,KWADWESI,0.07561084227
2991161,KWADWESI,0.00188182354344
2990620,KWADWESI,1.0
2990428,KWADWESI,1.0
2990649,KWADWESI,1.0
2991004,KWADWESI,0.99804041945
2991652,KWADWESI,0.000944570567045
2990029,KWADWESI,0.675528949104
2990829,KWADWESI,1.0
2991134,KWADWESI,1.0
2990111,KWADWESI,1.0
2990894,KWADWESI,1.0
2991007,KWADWESI,1.0
2990368,KWADWESI,1.0
2990948,KWADWESI,1.0
2990644,KWADWESI,1.0
2990274,KWADWESI,0.999985622587
2990903,KWADWESI,1.0
2990502,KWADWESI,1.0
2990748,KWADWESI,0.990125989532
2990078,KWADWESI,1.0
2990844,KWADWESI,1.0
2990556,KWADWESI,1.0
2990584,KWADWESI,1.0
2990841,KWADWESI,1.0
2990771,KWADWESI,1.0
2990551,KWADWESI,1.0
2991472,KWADWESI,0.986885515918
2991530,KWADWESI,0.983165867848
2990905,KWADWESI,1.0
2991695,KWADWESI,0.0379631036182
2991187,KWADWESI,1.0
2990028,KWADWESI,0.130699260445
2991417,KWADWESI,0.0697106846574
2990139,KWADWESI,0.0817440310271
2990819,KWADWESI,0.0784507768421
2990899,KWADWESI,1.0
2990933,KWADWESI,1.0
2990985,KWADWESI,1.0
2991012,KWADWESI,1.0
2991192,KWADWESI,1.0
2991204,KWADWESI,1.0
2991259,KWADWESI,1.0
2991280,KWADWESI,1.0
2991309,KWADWESI,1.0
2991374,KWADWESI,0.998973222369
2991380,KWADWESI,1.0
2991424,KWADWESI,1.0
2990707,KWADWESI,0.936484661665
2990832,KWADWESI,0.0848016611337
2990486,KWADWESI,0.367374145711
2991264,KWADWESI,0.162580561348
2991239,KWADWESI,0.11575477688
2991799,KWADWESI,0.0557389104277
2990116,KWADWESI,0.993748591497
2991163,KWADWESI,0.15042169347
2990296,KWADWESI,0.0832129356825
2780084,CRADOCK,1.04225852615e-05
2790012,CRADOCK,0.000471267337063
2790035,CRADOCK,0.000718209616527
2790033,CRADOCK,0.000256089915614
2780066,CRADOCK,1.0
2780035,CRADOCK,1.0
2780078,CRADOCK,1.0
2780047,CRADOCK,1.0
2780021,CRADOCK,1.0
2780090,CRADOCK,1.0
2780091,CRADOCK,1.0
2780067,CRADOCK,1.0
2780116,CRADOCK,1.0
2780083,CRADOCK,1.0
2780086,CRADOCK,1.0
2780045,CRADOCK,1.0
2780056,CRADOCK,1.0
2780113,CRADOCK,1.0
2780112,CRADOCK,1.0
2780109,CRADOCK,1.0
2780052,CRADOCK,1.0
2780105,CRADOCK,1.0
2780007,CRADOCK,1.0
2780057,CRADOCK,1.0
2780110,CRADOCK,1.0
2780073,CRADOCK,1.0
2780037,CRADOCK,1.0
2780051,CRADOCK,1.0
2780049,CRADOCK,1.0
2780097,CRADOCK,1.0
2780029,CRADOCK,1.0
2780024,CRADOCK,1.0
2780048,CRADOCK,1.0
2780055,CRADOCK,1.0
2780077,CRADOCK,1.0
2780054,CRADOCK,1.0
2780119,CRADOCK,1.0
2780085,CRADOCK,1.0
2780115,CRADOCK,1.0
2780102,CRADOCK,1.0
2780074,CRADOCK,1.0
2780099,CRADOCK,1.0
2780117,CRADOCK,0.999646386922
2780080,CRADOCK,1.0
2780121,CRADOCK,0.987197051659
2780061,CRADOCK,1.0
2790023,CRADOCK,0.0349071670639
2620072,CRADOCK,7.31115343394e-05
2620056,CRADOCK,0.000338039443166
2770013,CRADOCK,0.00153346272206
2780093,CRADOCK,0.919993050611
2770005,CRADOCK,0.00248353323598
2780014,CRADOCK,0.999438827727
2780122,CRADOCK,1.0
2780031,CRADOCK,0.999996758783
2780104,CRADOCK,1.0
2780002,CRADOCK,1.0
2780003,CRADOCK,1.0
2780046,CRADOCK,1.0
2780043,CRADOCK,1.0
2780028,CRADOCK,1.0
2780063,CRADOCK,1.0
2780038,CRADOCK,1.0
2780071,CRADOCK,1.0
2780036,CRADOCK,1.0
2780059,CRADOCK,1.0
2780019,CRADOCK,1.0
2780026,CRADOCK,1.0
2780065,CRADOCK,1.0
2780039,CRADOCK,1.0
2780076,CRADOCK,1.0
2780030,CRADOCK,1.0
2780012,CRADOCK,1.0
2780072,CRADOCK,1.0
2780060,CRADOCK,1.0
2780016,CRADOCK,1.0
2780079,CRADOCK,1.0
2780081,CRADOCK,1.0
2780087,CRADOCK,1.0
2780088,CRADOCK,1.0
2780089,CRADOCK,1.0
2780092,CRADOCK,1.0
2780095,CRADOCK,1.0
2780114,CRADOCK,1.0
2790008,CRADOCK,0.0136660022164
2610008,CRADOCK,0.00154401635469
2620010,CRADOCK,0.0188124036999
2780041,CRADOCK,0.999123481201
2780100,CRADOCK,0.999685790742
2610018,CRADOCK,0.000646516685492
2780008,CRADOCK,9.49124967115e-05
3780036,NOENIEPUT,0.193740365773
3770006,NOENIEPUT,0.413102860491
3770005,NOENIEPUT,0.999999667032
3770001,NOENIEPUT,0.864257835866
3790009,NOENIEPUT,0.219010793332
3790006,NOENIEPUT,0.366715788511
3790008,NOENIEPUT,4.52726934327e-05
3790012,NOENIEPUT,1.74010703155e-05
2850004,INDWE,0.105421538625
2850116,INDWE,5.17445210103e-05
2870119,INDWE,0.932713290369
2870317,INDWE,7.11008388018e-06
2880032,INDWE,7.70874978625e-05
2830143,INDWE,0.805967728398
2830301,INDWE,0.966055472842
2830308,INDWE,0.264233438605
2830215,INDWE,1.0
2830289,INDWE,6.99853190331e-06
2830297,INDWE,0.153126142217
2830180,INDWE,0.000107171881377
2830046,INDWE,0.031320977281
2830238,INDWE,0.000477961397331
2830076,INDWE,0.939744719424
2830088,INDWE,0.000285885456604
2830044,INDWE,7.60093045622e-07
2830236,INDWE,1.0
2830243,INDWE,1.0
2830274,INDWE,1.0
2830263,INDWE,1.0
2830246,INDWE,1.0
2830221,INDWE,1.0
2830219,INDWE,1.0
2830257,INDWE,1.0
2830284,INDWE,1.0
2830293,INDWE,1.0
2830169,INDWE,1.0
2830160,INDWE,1.0
2830266,INDWE,1.0
2830077,INDWE,0.00278148172697
2830015,INDWE,0.000192851898714
2870262,ROSSOUW,2.70524099023e-05
2870119,ROSSOUW,0.0672867096309
2870085,ROSSOUW,1.0
2870317,ROSSOUW,0.416267824678
2870031,ROSSOUW,0.693765294271
2880013,ROSSOUW,3.06726636538e-06
2880032,ROSSOUW,0.0639618118538
2830180,ROSSOUW,2.87441822012e-05
2830076,ROSSOUW,2.21287694669e-05
2860216,ELANDS HEIGHT,0.0496062456472
2860095,ELANDS HEIGHT,0.925406709241
2870143,ELANDS HEIGHT,7.9606180291e-06
2860172,ELANDS HEIGHT,0.743218821928
2860012,ELANDS HEIGHT,0.126195471766
2860089,ELANDS HEIGHT,0.000627588330434
2860007,ELANDS HEIGHT,3.78415222208e-05
2860147,ELANDS HEIGHT,0.0417310551852
2860050,ELANDS HEIGHT,1.0
2860096,ELANDS HEIGHT,0.0296151013345
2860188,MACLEAR,0.0652475157269
2860216,MACLEAR,0.950242133614
2860095,MACLEAR,0.0626616299862
2870143,MACLEAR,5.06121933716e-06
2870223,MACLEAR,9.51856492714e-07
2860128,MACLEAR,0.00936452469855
2860200,MACLEAR,0.367635227739
2860096,MACLEAR,0.810528258602
2860187,MACLEAR,0.59726020547
2860203,MACLEAR,1.0
2860403,MACLEAR,1.0
2860120,MACLEAR,1.0
2860250,MACLEAR,1.0
2860377,MACLEAR,1.0
2860340,MACLEAR,1.0
2860392,MACLEAR,1.0
2860358,MACLEAR,1.0
2860337,MACLEAR,1.0
2860237,MACLEAR,1.0
2860299,MACLEAR,1.0
2860382,MACLEAR,1.0
2860261,MACLEAR,1.0
2860325,MACLEAR,1.0
2860271,MACLEAR,1.0
2860345,MACLEAR,1.0
2860334,MACLEAR,1.0
2860306,MACLEAR,1.0
2860398,MACLEAR,1.0
2860218,MACLEAR,1.0
2860360,MACLEAR,1.0
2860266,MACLEAR,0.00072384865444
2860381,MACLEAR,0.0709445238873
2860060,MACLEAR,0.149825974863
2860104,MACLEAR,0.0144426198277
2670002,WOLWEFONTEIN,0.132718169222
2660005,WOLWEFONTEIN,0.64659409765
2630005,WOLWEFONTEIN,0.997437380839
2660010,WOLWEFONTEIN,0.999705962331
2660004,WOLWEFONTEIN,0.073677758146
2660020,WOLWEFONTEIN,0.999784600497
2660007,WOLWEFONTEIN,5.10146131481e-05
2660080,WOLWEFONTEIN,0.000177594179306
2660013,WOLWEFONTEIN,0.000119712409956
2630019,WOLWEFONTEIN,0.000152974151772
2630004,WOLWEFONTEIN,0.000615025588604
2670012,WOLWEFONTEIN,0.269891769543
2990068,ADDO,0.000112055383985
2660081,ADDO,0.502381897965
2660015,ADDO,1.0
2660033,ADDO,1.0
2660023,ADDO,1.0
2660052,ADDO,1.0
2660030,ADDO,1.0
2660051,ADDO,1.0
2660026,ADDO,1.0
2660036,ADDO,1.0
2660047,ADDO,1.0
2660029,ADDO,1.0
2660055,ADDO,1.0
2660059,ADDO,1.0
2660064,ADDO,1.0
2660068,ADDO,1.0
2660074,ADDO,1.0
2660075,ADDO,1.0
2660014,ADDO,1.0
2660018,ADDO,1.0
2660040,ADDO,1.0
2660043,ADDO,1.0
2660045,ADDO,1.0
2660054,ADDO,1.0
2660060,ADDO,1.0
2660069,ADDO,1.0
2660072,ADDO,1.0
2660078,ADDO,1.0
2660012,ADDO,0.00874495434135
2990035,ADDO,0.194286583434
2660082,ADDO,0.921933204111
2990045,ADDO,0.0016711116983
2660008,ADDO,0.20516863162
2660049,ADDO,1.0
2660050,ADDO,1.0
2991251,ADDO,0.000641881952878
7970129,KWA THEMA,0.00667968896518
7972259,KWA THEMA,0.211169289249
7970453,KWA THEMA,1.0
7970372,KWA THEMA,0.776890217098
7972143,KWA THEMA,1.0
7971975,KWA THEMA,0.951107170796
7971267,KWA THEMA,1.0
7971629,KWA THEMA,1.0
7971940,KWA THEMA,0.976720091144
7973649,KWA THEMA,0.776701872906
7973598,KWA THEMA,0.877592310543
7970284,KWA THEMA,1.0
7972867,KWA THEMA,1.0
7971263,KWA THEMA,1.0
7972913,KWA THEMA,0.739719597079
7971704,KWA THEMA,1.0
7972544,KWA THEMA,1.0
7971871,KWA THEMA,1.0
7971747,KWA THEMA,1.0
7972724,KWA THEMA,1.0
7971836,KWA THEMA,1.0
7971414,KWA THEMA,1.0
7970097,KWA THEMA,1.0
7970952,KWA THEMA,1.0
7973160,KWA THEMA,1.0
7972628,KWA THEMA,1.0
7972560,KWA THEMA,1.0
7972894,KWA THEMA,1.0
7971675,KWA THEMA,1.0
7973897,KWA THEMA,1.0
7972798,KWA THEMA,1.0
7973325,KWA THEMA,1.0
7973771,KWA THEMA,1.0
7972286,KWA THEMA,1.0
7971316,KWA THEMA,1.0
7971622,KWA THEMA,1.0
7972185,KWA THEMA,0.78647160239
7973220,KWA THEMA,1.0
7972746,KWA THEMA,1.0
7970876,KWA THEMA,1.0
7971126,KWA THEMA,1.0
7971362,KWA THEMA,1.0
7973397,KWA THEMA,1.0
7973144,KWA THEMA,1.0
7973639,KWA THEMA,1.0
7973978,KWA THEMA,1.0
7972529,KWA THEMA,0.950052179065
7970861,KWA THEMA,1.0
7972985,KWA THEMA,1.0
7972273,KWA THEMA,1.0
7973247,KWA THEMA,1.0
7972607,KWA THEMA,1.0
7972720,KWA THEMA,1.0
7973182,KWA THEMA,1.0
7972121,KWA THEMA,1.0
7973837,KWA THEMA,1.0
7972842,KWA THEMA,1.0
7972917,KWA THEMA,1.0
7972933,KWA THEMA,1.0
7974029,KWA THEMA,1.0
7973890,KWA THEMA,1.0
7973500,KWA THEMA,1.0
7973532,KWA THEMA,1.0
7972756,KWA THEMA,1.0
7972629,KWA THEMA,0.981206120183
7973587,KWA THEMA,1.0
7973793,KWA THEMA,1.0
7971071,KWA THEMA,1.0
7972159,KWA THEMA,1.0
7972408,KWA THEMA,1.0
7973868,KWA THEMA,1.0
7972623,KWA THEMA,1.0
7970985,KWA THEMA,1.0
7971986,KWA THEMA,1.0
7972686,KWA THEMA,1.0
